,text,airline_sentiment,demoji,cleaned,no_sw,wo_stopfreq,wo_stopfreq_lem
10378,"@USAirways weather doesn't excuse poor customer service, lack of info from staff or the fact staff haven't turned up",negative,"@USAirways weather doesn't excuse poor customer service, lack of info from staff or the fact staff haven't turned up"," weather doesn't excuse poor customer service, lack of info from staff or the fact staff have not turned up","weather excuse poor customer service, lack info staff fact staff turned","weather excuse poor service, lack info staff fact staff turned","weather excuse poor service, lack info staff fact staff turned"
10379,@USAirways please help on hold 3 hours can't change flights I'm stuck here,negative,@USAirways please help on hold 3 hours can't change flights I'm stuck here, please help on hold 3 hours can't change flights i'm stuck here,hold 3 hours change flights stuck,3 change flights stuck,3 change flights stuck
10380,@USAirways on hold 3 hours !!!!!! What's the number to speak to someone this is unacceptable I need to change flights,negative,@USAirways on hold 3 hours !!!!!! What's the number to speak to someone this is unacceptable I need to change flights, on hold 3 hours !!!!!! what's the number to speak to someone this is unacceptable i need to change flights,hold 3 hours !!!!!! number speak unacceptable change flights,3 !!!!!! number speak unacceptable change flights,3 !!!!!! number speak unacceptable change flights
10382,"@USAirways he waited over two hours on the phone, had to book and get to MI, family member very ill, time of the essence",negative,"@USAirways he waited over two hours on the phone, had to book and get to MI, family member very ill, time of the essence"," he waited over two hours on the phone, had to book and get to mi, family member very ill, time of the essence","waited hours phone, book mi, family member ill, time essence","waited phone, book mi, family member ill, time essence","waited phone, book mi, family member ill, time essence"
10383,@USAirways depart from where? It departed PHX and was due to land at DCA around 8pm.,negative,@USAirways depart from where? It departed PHX and was due to land at DCA around 8pm., depart from where? it departed phx and was due to land at dca around 8pm.,depart where? departed phx due land dca 8pm.,depart where? departed phx due land dca 8pm.,depart where? departed phx due land dca 8pm.
10384,"@USAirways Can't stress enough how awful the agent was for flight 5283. Knew 11 ppl from delayed flight were on way in mins, no compassion.",negative,"@USAirways Can't stress enough how awful the agent was for flight 5283. Knew 11 ppl from delayed flight were on way in mins, no compassion."," can't stress enough how awful the agent was for flight 5283. knew 11 people from delayed flight were on way in mins, no compassion.","stress awful agent flight 5283. knew 11 delayed flight mins, compassion.","stress awful agent 5283. knew 11 delayed mins, compassion.","stress awful agent 5283. knew 11 delayed mins, compassion."
10385,@USAirways I certainly understand the hold delays for WX reschedules - I've been on for 2hr15min - do you have an estimated wait time?,negative,@USAirways I certainly understand the hold delays for WX reschedules - I've been on for 2hr15min - do you have an estimated wait time?, i certainly understand the hold delays for wx reschedules - i've been on for 2hr15min - do you have an estimated wait time?,understand hold delays wx reschedules - 2hr15min - estimated wait time?,understand delays wx reschedules - 2hr15min - estimated wait time?,understand delays wx reschedules - 2hr15min - estimated wait time?
10386,@USAirways And cherry on top-flight 880 was on runway after we landed ON TIME for 45 mins. Still didn't get half the luggage.,negative,@USAirways And cherry on top-flight 880 was on runway after we landed ON TIME for 45 mins. Still didn't get half the luggage., and cherry on top-flight 880 was on runway after we landed on time for 45 mins. still didn't get half the luggage.,cherry top-flight 880 runway landed time 45 mins. half luggage.,cherry top-flight 880 runway landed time 45 mins. half luggage.,cherry top-flight 880 runway landed time 45 mins. half luggage.
10387,@USAirways likelihood of PHL to BDL actually leaving tonight? 2 hour delay so far!,negative,@USAirways likelihood of PHL to BDL actually leaving tonight? 2 hour delay so far!, likelihood of phl to bdl actually leaving tonight? 2 hour delay so far!,likelihood phl bdl leaving tonight? 2 hour delay far!,likelihood phl bdl leaving tonight? hour delay far!,likelihood phl bdl leaving tonight? hour delay far!
10388,@USAirways My brother &amp; his family stranded in CLT tonight bc gate E36 agent wouldn't hold plane for two minutes. Now driving in bad weather,negative,@USAirways My brother &amp; his family stranded in CLT tonight bc gate E36 agent wouldn't hold plane for two minutes. Now driving in bad weather, my brother &amp; his family stranded in clt tonight bc gate e36 agent wouldn't hold plane for two minutes. now driving in bad weather,brother &amp; family stranded clt tonight gate e36 agent hold plane minutes. driving weather,brother family stranded clt tonight gate e36 agent minutes. driving weather,brother family stranded clt tonight gate e36 agent minutes. driving weather
10389,@USAirways over an hour is unacceptable wait time. thanks for nothing.  Be sure never to fly you again,negative,@USAirways over an hour is unacceptable wait time. thanks for nothing.  Be sure never to fly you again, over an hour is unacceptable wait time. thanks for nothing. be sure never to fly you again,hour unacceptable wait time. nothing. fly,hour unacceptable wait time. nothing. fly,hour unacceptable wait time. nothing. fly
10391,@USAirways understood. It simply feels as if the staff is not being entirely truthful about the situation.,negative,@USAirways understood. It simply feels as if the staff is not being entirely truthful about the situation., understood. it simply feels as if the staff is not being entirely truthful about the situation.,understood. simply feels staff entirely truthful situation.,understood. simply feels staff entirely truthful situation.,understood. simply feels staff entirely truthful situation.
10392,"@USAirways #not happy, wife 40th Bday trip. would like to be fully compensated for both flights",negative,"@USAirways #not happy, wife 40th Bday trip. would like to be fully compensated for both flights"," #not happy, wife 40th bday trip. would like to be fully compensated for both flights","#not happy, wife 40th bday trip. fully compensated flights","#not happy, wife 40th bday trip. fully compensated flights","#not happy, wife 40th bday trip. fully compensated flights"
10393,"@USAirways delayed in philly since 130, sitting onTarmac since 8pm flight 1881 plz contact donaldaroberts1@gmail.com",negative,"@USAirways delayed in philly since 130, sitting onTarmac since 8pm flight 1881 plz contact donaldaroberts1@gmail.com"," delayed in philly since 130, sitting ontarmac since 8pm flight 1881 plz contact donaldaroberts1.com","delayed philly 130, sitting ontarmac 8pm flight 1881 plz contact donaldaroberts1.com","delayed philly 130, sitting ontarmac 8pm 1881 plz contact donaldaroberts1.com","delayed philly 130, sitting ontarmac 8pm 1881 plz contact donaldaroberts1.com"
10394,@USAirways worst trip ever!  Wish pilot would've let me off plane at 12pm during 1st delay.  Now 1030pm and still sitting on runway.,negative,@USAirways worst trip ever!  Wish pilot would've let me off plane at 12pm during 1st delay.  Now 1030pm and still sitting on runway., worst trip ever! wish pilot would've let me off plane at 12pm during 1st delay. now 1030pm and still sitting on runway.,worst trip ever! wish pilot would've plane 12pm 1st delay. 1030pm sitting runway.,worst trip ever! wish pilot would've 12pm 1st delay. 1030pm sitting runway.,worst trip ever! wish pilot would've 12pm 1st delay. 1030pm sitting runway.
10396,@USAirways so far no call back,negative,@USAirways so far no call back, so far no call back,call back,back,back
10398,@USAirways standing in line with 100 people all looking to do the same,negative,@USAirways standing in line with 100 people all looking to do the same, standing in line with 100 people all looking to do the same,standing line 100,standing line 100,standing line 100
10399,"@USAirways cannot book to redeem companion fair without speaking to agent. $99 vs $1200, this is a family emergency #unacceptable",negative,"@USAirways cannot book to redeem companion fair without speaking to agent. $99 vs $1200, this is a family emergency #unacceptable"," cannot book to redeem companion fair without speaking to agent. $99 vs $1200, this is a family emergency #unacceptable","book redeem companion fair speaking agent. $99 vs $1200, family emergency #unacceptable","book redeem companion fair speaking agent. $99 vs $1200, family emergency #unacceptable","book redeem companion fair speaking agent. $99 vs $1200, family emergency #unacceptable"
10400,@USAirways can I at least get a response?  I tried the gate person (sent me the wrong way to cust srvc ) Cust Srvc (when I found them),negative,@USAirways can I at least get a response?  I tried the gate person (sent me the wrong way to cust srvc ) Cust Srvc (when I found them), can i at least get a response? i tried the gate person (sent me the wrong way to cust srvc ) cust srvc (when i found them),response? gate person (sent wrong cust srvc ) cust srvc (when found them),response? gate person (sent wrong cust srvc ) cust srvc (when found them),response? gate person (sent wrong cust srvc ) cust srvc (when found them)
10401,@USAirways That's clever. Its clear you need more agents. 94 min hold and counting. Flex workforces are highly possible in 2015,negative,@USAirways That's clever. Its clear you need more agents. 94 min hold and counting. Flex workforces are highly possible in 2015, that is clever. its clear you need more agents. 94 min hold and counting. flex workforces are highly possible in 2015,clever. clear agents. 94 hold counting. flex workforces highly possible 2015,clever. clear agents. 94 counting. flex workforces highly possible 2015,clever. clear agents. 94 counting. flex workforces highly possible 2015
10402,@USAirways hey folks where do you hide luggage when you Cancelled Flight a flight! You have 100 very angry people with no luggage,negative,@USAirways hey folks where do you hide luggage when you Cancelled Flight a flight! You have 100 very angry people with no luggage, hey folks where do you hide luggage when you cancelled flight a flight! you have 100 very angry people with no luggage,hey folks hide luggage cancelled flight flight! 100 angry luggage,hey folks hide luggage flight! 100 angry luggage,hey folks hide luggage flight! 100 angry luggage
10404,@USAirways you can send my luggage to my house👋,negative,@USAirways you can send my luggage to my house:waving_hand:, you can send my luggage to my house:waving_hand:,send luggage house:waving_hand:,send luggage house:waving_hand:,send luggage house:waving_hand:
10406,@USAirways thanks for letting me know of the 12 hour delay and 2 hours on hold ?,negative,@USAirways thanks for letting me know of the 12 hour delay and 2 hours on hold ?, thanks for letting me know of the 12 hour delay and 2 hours on hold ?,letting 12 hour delay 2 hours hold ?,letting 12 hour delay ?,letting 12 hour delay ?
10407,@USAirways please respond to me. I've been on hold on the reservations line for an hour and 45 minutes. I would really appreciate it.,negative,@USAirways please respond to me. I've been on hold on the reservations line for an hour and 45 minutes. I would really appreciate it., please respond to me. i've been on hold on the reservations line for an hour and 45 minutes. i would really appreciate it.,respond me. hold reservations line hour 45 minutes. appreciate it.,respond me. reservations line hour 45 minutes. appreciate it.,respond me. reservations line hour 45 minutes. appreciate it.
10408,@USAirways From here on out when I can at all I'm flying @Delta. Since when is a plane getting stuck in a drift for 2 hours a weather issue?,negative,@USAirways From here on out when I can at all I'm flying @Delta. Since when is a plane getting stuck in a drift for 2 hours a weather issue?, from here on out when i can at all i'm flying . since when is a plane getting stuck in a drift for 2 hours a weather issue?,flying . plane stuck drift 2 hours weather issue?,flying . stuck drift weather issue?,flying . stuck drift weather issue?
10409,@USAirways on hold for 1 hour and 14 min trying to find the luggage flight Cancelled Flightled where is luggage? http://t.co/i1SfMI7zat,negative,@USAirways on hold for 1 hour and 14 min trying to find the luggage flight Cancelled Flightled where is luggage? http://t.co/i1SfMI7zat, on hold for 1 hour and 14 min trying to find the luggage flight cancelled flightled where is luggage? http://t.co/i1sfmi7zat,hold 1 hour 14 find luggage flight cancelled flightled luggage? http://t.co/i1sfmi7zat,1 hour 14 find luggage flightled luggage? http://t.co/i1sfmi7zat,1 hour 14 find luggage flightled luggage? http://t.co/i1sfmi7zat
10410,@USAirways Never mind that you could have told the gate I was on my way - you could delay 10 mins but not 15?,negative,@USAirways Never mind that you could have told the gate I was on my way - you could delay 10 mins but not 15?, never mind that you could have told the gate i was on my way - you could delay 10 mins but not 15?,mind told gate - delay 10 mins 15?,mind told gate - delay 10 mins 15?,mind told gate - delay 10 mins 15?
10411,@USAirways  and now I'm going to miss my G'ma's Memorial because I didn't #FlyDelta.,negative,@USAirways  and now I'm going to miss my G'ma's Memorial because I didn't #FlyDelta., and now i'm going to miss my g'ma's memorial because i didn't #flydelta.,miss g'ma's memorial #flydelta.,miss g'ma's memorial #flydelta.,miss g'ma's memorial #flydelta.
10412,"@USAirways @usairways -Really? U land me in Philly 1.5 hours before my flight, wait 1.5 hours behind a plane you got stuck,",negative,"@USAirways @usairways -Really? U land me in Philly 1.5 hours before my flight, wait 1.5 hours behind a plane you got stuck,"," -really? u land me in philly 1.5 hours before my flight, wait 1.5 hours behind a plane you got stuck,","-really? land philly 1.5 hours flight, wait 1.5 hours plane stuck,","-really? land philly 1.5 flight, wait 1.5 stuck,","-really? land philly 1.5 flight, wait 1.5 stuck,"
10413,@USAirways Your app and website are trash AF.,negative,@USAirways Your app and website are trash AF., your app and website are trash af.,app website trash af.,app website trash af.,app website trash af.
10414,@USAirways not best pleased with service so far. On our third gate and still no guarantee that it's the correct one :(,negative,@USAirways not best pleased with service so far. On our third gate and still no guarantee that it's the correct one :(, not best pleased with service so far. on our third gate and still no guarantee that it is the correct one :(,pleased service far. gate guarantee correct :(,pleased far. gate guarantee correct :(,pleased far. gate guarantee correct :(
10418,@USAirways how about an update with real information?still waiting on Tarmac in Philadelphia.,negative,@USAirways how about an update with real information?still waiting on Tarmac in Philadelphia., how about an update with real information?still waiting on tarmac in philadelphia.,update real information?still waiting tarmac philadelphia.,update real information?still waiting tarmac philadelphia.,update real information?still waiting tarmac philadelphia.
10419,@usairways you mean 10:30pm. I'd be in vegas by now if I'd been allowed on my original flight.,negative,@usairways you mean 10:30pm. I'd be in vegas by now if I'd been allowed on my original flight., you mean 10:30pm. i'd be in vegas by now if i'd been allowed on my original flight.,10:30pm. vegas allowed original flight.,10:30pm. vegas allowed original flight.,10:30pm. vegas allowed original flight.
10420,"@USAirways Bravo handling MSP to PHX # 2023 today. Delayed, Late Flightr Cancelled Flightled. Missed surprise 60th bday which was reason for trip.Never again",negative,"@USAirways Bravo handling MSP to PHX # 2023 today. Delayed, Late Flightr Cancelled Flightled. Missed surprise 60th bday which was reason for trip.Never again"," bravo handling msp to phx # 2023 today. delayed, late flightr cancelled flightled. missed surprise 60th bday which was reason for trip.never again","bravo handling msp phx # 2023 today. delayed, late flightr cancelled flightled. missed surprise 60th bday reason trip.never","bravo handling msp phx # 2023 today. delayed, late flightr flightled. missed surprise 60th bday reason trip.never","bravo handling msp phx # 2023 today. delayed, late flightr flightled. missed surprise 60th bday reason trip.never"
10422,@USAirways Still waiting for another crew member. #cabinfever,negative,@USAirways Still waiting for another crew member. #cabinfever, still waiting for another crew member. #cabinfever,waiting crew member. #cabinfever,waiting crew member. #cabinfever,waiting crew member. #cabinfever
10423,@USAirways Hey. I hve Cancelled Flightled flght &amp; on hold for 30 min nw 4 rebook. Website not working. Can u give me some insight if I DM conf #?,negative,@USAirways Hey. I hve Cancelled Flightled flght &amp; on hold for 30 min nw 4 rebook. Website not working. Can u give me some insight if I DM conf #?, hey. i hve cancelled flightled flght &amp; on hold for 30 min no way 4 rebook. website not working. can u give me some insight if i dm conf #?,hey. hve cancelled flightled flght &amp; hold 30 4 rebook. website working. give insight dm conf #?,hey. hve flightled flght 30 4 rebook. website working. give insight dm conf #?,hey. hve flightled flght 30 4 rebook. website working. give insight dm conf #?
10425,"@USAirways I need help. In air on #717 to CLT from PHL. Conf: D1MQF5 Need confirmed on #1776 to BNA at 10:30. Been bumped all day, need home",negative,"@USAirways I need help. In air on #717 to CLT from PHL. Conf: D1MQF5 Need confirmed on #1776 to BNA at 10:30. Been bumped all day, need home"," i need help. in air on #717 to clt from phl. conf: d1mqf5 need confirmed on #1776 to bna at 10:30. been bumped all day, need home","help. air #717 clt phl. conf: d1mqf5 confirmed #1776 bna 10:30. bumped day, home","help. air #717 clt phl. conf: d1mqf5 confirmed #1776 bna 10:30. bumped day, home","help. air #717 clt phl. conf: d1mqf5 confirmed #1776 bna 10:30. bumped day, home"
10426,@USAirways FINALLY leaving 4 home from NC. Will lodge respectful complaints!! Mechanical issue after cleared for runway? #5hourwait #nocrew,negative,@USAirways FINALLY leaving 4 home from NC. Will lodge respectful complaints!! Mechanical issue after cleared for runway? #5hourwait #nocrew, finally leaving 4 home from nc. will lodge respectful complaints!! mechanical issue after cleared for runway? #5hourwait #nocrew,finally leaving 4 home nc. lodge respectful complaints!! mechanical issue cleared runway? #5hourwait #nocrew,finally leaving 4 home nc. lodge respectful complaints!! mechanical issue cleared runway? #5hourwait #nocrew,finally leaving 4 home nc. lodge respectful complaints!! mechanical issue cleared runway? #5hourwait #nocrew
10427,@USAirways been on hold way to long!  Is this the best level of service you can provide? - one hour+ is too long!,negative,@USAirways been on hold way to long!  Is this the best level of service you can provide? - one hour+ is too long!, been on hold way to long! is this the best level of service you can provide? - one hour+ is too long!,hold long! level service provide? - hour+ long!,long! level provide? - hour+ long!,long! level provide? - hour+ long!
10429,@USAirways Sitting in a cesspool of germs on the ground in #PHL for 2 hours now.,negative,@USAirways Sitting in a cesspool of germs on the ground in #PHL for 2 hours now., sitting in a cesspool of germs on the ground in #phl for 2 hours now.,sitting cesspool germs ground #phl 2 hours now.,sitting cesspool germs ground #phl now.,sitting cesspool germs ground #phl now.
10430,@USAirways hour 4 at the gate.,negative,@USAirways hour 4 at the gate., hour 4 at the gate.,hour 4 gate.,hour 4 gate.,hour 4 gate.
10431,@USAirways don't think you guys could mess things up any more.. Never flying with you again!,negative,@USAirways don't think you guys could mess things up any more.. Never flying with you again!, do not think you guys could mess things up any more.. never flying with you again!,guys mess things more.. flying again!,guys mess things more.. flying again!,guys mess things more.. flying again!
10432,@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far,negative,@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far, waited for 3 hours no luggage line too long left airport when flight cancelled flighted where does luggage go? on hold for 1 hour so far,waited 3 hours luggage line long left airport flight cancelled flighted luggage go? hold 1 hour,waited 3 luggage line long left airport flighted luggage go? 1 hour,waited 3 luggage line long left airport flighted luggage go? 1 hour
10433,@USAirways so you strand my bag in Philly last Sat and strand me in Philly this Sat. thanks for the bullshit.,negative,@USAirways so you strand my bag in Philly last Sat and strand me in Philly this Sat. thanks for the bullshit., so you strand my bag in philly last sat and strand me in philly this sat. thanks for the bullshit.,strand bag philly sat strand philly sat. bullshit.,strand bag philly sat strand philly sat. bullshit.,strand bag philly sat strand philly sat. bullshit.
10434,@USAirways Looks like I'm already delayed and will miss my connecting flight in Philadelphia. Do you un-delay your flights?,negative,@USAirways Looks like I'm already delayed and will miss my connecting flight in Philadelphia. Do you un-delay your flights?, looks like i'm already delayed and will miss my connecting flight in philadelphia. do you un-delay your flights?,delayed miss connecting flight philadelphia. un-delay flights?,delayed miss connecting philadelphia. un-delay flights?,delayed miss connecting philadelphia. un-delay flights?
10435,"@USAirways husband tried to use dividends &amp; companion fair for emergency, transferred &amp; put on hold for over two hours gave up #disappointed",negative,"@USAirways husband tried to use dividends &amp; companion fair for emergency, transferred &amp; put on hold for over two hours gave up #disappointed"," husband tried to use dividends &amp; companion fair for emergency, transferred &amp; put on hold for over two hours gave up #disappointed","husband dividends &amp; companion fair emergency, transferred &amp; put hold hours gave #disappointed","husband dividends companion fair emergency, transferred put gave #disappointed","husband dividends companion fair emergency, transferred put gave #disappointed"
10436,@USAirways @rylietolbert15 wow you wouldn't say,negative,@USAirways @rylietolbert15 wow you wouldn't say, wow you wouldn't say,wow,wow,wow
10437,"@USAirways BF has been stuck in CLT all day. Is the lounge offering free ""This weather sucks &amp; we all want to cry"" tequila shots?",negative,"@USAirways BF has been stuck in CLT all day. Is the lounge offering free ""This weather sucks &amp; we all want to cry"" tequila shots?"," bf has been stuck in clt all day. is the lounge offering free ""this weather sucks &amp; we all want to cry"" tequila shots?","bf stuck clt day. lounge offering free ""this weather sucks &amp; cry"" tequila shots?","bf stuck clt day. lounge offering free ""this weather sucks cry"" tequila shots?","bf stuck clt day. lounge offering free ""this weather sucks cry"" tequila shots?"
10438,“@USAirways: @TMadCLE We don't like to hear this. We're sorry that it's taking so long to get through.” Stop sending generic responses,negative,“@USAirways: @TMadCLE We don't like to hear this. We're sorry that it's taking so long to get through.” Stop sending generic responses,“: we do not like to hear this. we're sorry that it is taking so long to get through.” stop sending generic responses,“: hear this. sorry taking long through.” stop sending generic responses,“: hear this. sorry taking long through.” stop sending generic responses,“: hear this. sorry taking long through.” stop sending generic responses
10439,@USAirways sucks.  Flt 2692 Late Flight by 20 mins missed my connection.  Thanks for the 10 bucks and a middle seat on the next flt.,negative,@USAirways sucks.  Flt 2692 Late Flight by 20 mins missed my connection.  Thanks for the 10 bucks and a middle seat on the next flt., sucks. flt 2692 late flight by 20 mins missed my connection. thanks for the 10 bucks and a middle seat on the next flt.,sucks. flt 2692 late flight 20 mins missed connection. 10 bucks middle seat flt.,sucks. flt 2692 late 20 mins missed connection. 10 bucks middle seat flt.,sucks. flt 2692 late 20 mins missed connection. 10 bucks middle seat flt.
10440,".@USAirways worst experience of all time. Will never, ever, ever travel with you again. EVER",negative,".@USAirways worst experience of all time. Will never, ever, ever travel with you again. EVER",". worst experience of all time. will never, ever, ever travel with you again. ever",". worst experience time. never, ever, travel again.",". worst experience time. never, ever, travel again.",". worst experience time. never, ever, travel again."
10443,@USAirways So you Cancelled Flightled my flight AGAIN? are you paying for my hotel?!,negative,@USAirways So you Cancelled Flightled my flight AGAIN? are you paying for my hotel?!, so you cancelled flightled my flight again? are you paying for my hotel?!,cancelled flightled flight again? paying hotel?!,flightled again? paying hotel?!,flightled again? paying hotel?!
10444,@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?,negative,@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?, something is wrong with your phone system if you call someone and do not play the recorded flight notification. is us643 late flight?,wrong phone system call play recorded flight notification. us643 late flight?,wrong phone system play recorded notification. us643 late flight?,wrong phone system play recorded notification. us643 late flight?
10447,@USAirways hell is terrible gate agents. And a three hour wait at the gate.,negative,@USAirways hell is terrible gate agents. And a three hour wait at the gate., hell is terrible gate agents. and a three hour wait at the gate.,hell terrible gate agents. hour wait gate.,hell terrible gate agents. hour wait gate.,hell terrible gate agents. hour wait gate.
10448,"@USAirways I made the change online, but couldn't check-in online, so had to call (3 hrs on hold btw). Shouldn't have been charged $25",negative,"@USAirways I made the change online, but couldn't check-in online, so had to call (3 hrs on hold btw). Shouldn't have been charged $25"," i made the change online, but could not check-in online, so had to call (3 hrs on hold btw). shouldn't have been charged $25","made change online, check-in online, call (3 hrs hold btw). charged $25","made change online, check-in online, (3 hrs btw). charged $25","made change online, check-in online, (3 hrs btw). charged $25"
10451,@USAirways nervous for flight tomrw out of key west not friendly customer service,negative,@USAirways nervous for flight tomrw out of key west not friendly customer service, nervous for flight tomrw out of key west not friendly customer service,nervous flight tomrw key west friendly customer service,nervous tomrw key west friendly,nervous tomrw key west friendly
10452,"@USAirways I was calling before I left, and as it turns out @united answered their phones instead and they rebooked my USAir flight.",negative,"@USAirways I was calling before I left, and as it turns out @united answered their phones instead and they rebooked my USAir flight."," i was calling before i left, and as it turns out answered their phones instead and they rebooked my usair flight.","calling left, turns answered phones instead rebooked usair flight.","calling left, turns answered phones instead rebooked usair flight.","calling left, turns answered phones instead rebooked usair flight."
10456,@USAirways @AmericanAir won't even refund for a flight they Cancelled Flightled #horriblecustomerservice,negative,@USAirways @AmericanAir won't even refund for a flight they Cancelled Flightled #horriblecustomerservice,  will not even refund for a flight they cancelled flightled #horriblecustomerservice,refund flight cancelled flightled #horriblecustomerservice,refund flightled #horriblecustomerservice,refund flightled #horriblecustomerservice
10457,"@USAirways call dropped &amp; no call back...another 45min-hour for another rep. The worst CS ever, online, by phone &amp; in person.",negative,"@USAirways call dropped &amp; no call back...another 45min-hour for another rep. The worst CS ever, online, by phone &amp; in person."," call dropped &amp; no call back...another 45min-hour for another rep. the worst cs ever, online, by phone &amp; in person.","call dropped &amp; call back...another 45min-hour rep. worst cs ever, online, phone &amp; person.","dropped back...another 45min-hour rep. worst cs ever, online, phone person.","dropped back...another 45min-hour rep. worst cs ever, online, phone person."
10459,@USAirways will you fly me to somewhere warm? I'm tired of this snow! :(,negative,@USAirways will you fly me to somewhere warm? I'm tired of this snow! :(, will you fly me to somewhere warm? i'm tired of this snow! :(,fly warm? tired snow! :(,fly warm? tired snow! :(,fly warm? tired snow! :(
10460,@USAirways why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers,negative,@USAirways why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers, why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers,hell left *alliance joined 1world smart move time start carriers,hell left *alliance joined 1world smart move time start carriers,hell left *alliance joined 1world smart move time start carriers
10461,@USAirways and apologies are thin when you don't even offer hotel vouchers to your stranded customers.,negative,@USAirways and apologies are thin when you don't even offer hotel vouchers to your stranded customers., and apologies are thin when you do not even offer hotel vouchers to your stranded customers.,apologies thin offer vouchers stranded customers.,apologies thin offer vouchers stranded customers.,apologies thin offer vouchers stranded customers.
10462,@USAirways I did. They told me it was a 40 min wait &amp; they'd call back. It's already been 45 min. Horrible,negative,@USAirways I did. They told me it was a 40 min wait &amp; they'd call back. It's already been 45 min. Horrible, i did. they told me it was a 40 min wait &amp; they'd call back. it's already been 45 min. horrible,did. told 40 wait &amp; call back. 45 min. horrible,did. told 40 wait back. 45 min. horrible,did. told 40 wait back. 45 min. horrible
10463,@USAirways but only for certain flights from CLT-NYC. The notion that you can't rebook customers for 48 hours is absurd.,negative,@USAirways but only for certain flights from CLT-NYC. The notion that you can't rebook customers for 48 hours is absurd., but only for certain flights from clt-nyc. the notion that you can't rebook customers for 48 hours is absurd.,flights clt-nyc. notion rebook customers 48 hours absurd.,flights clt-nyc. notion rebook customers 48 absurd.,flights clt-nyc. notion rebook customers 48 absurd.
10464,@USAirways had to Cancelled Flight 4 of my flights because my versace biceps wouldn't stow completely under the seat in front of me.,negative,@USAirways had to Cancelled Flight 4 of my flights because my versace biceps wouldn't stow completely under the seat in front of me., had to cancelled flight 4 of my flights because my versace biceps wouldn't stow completely under the seat in front of me.,cancelled flight 4 flights versace biceps stow completely seat front me.,4 flights versace biceps stow completely seat front me.,4 flights versace biceps stow completely seat front me.
10465,"@USAirways disappointed with your toll free number. Terrible customer service, my flight has been Cancelled Flightled would like to get home",negative,"@USAirways disappointed with your toll free number. Terrible customer service, my flight has been Cancelled Flightled would like to get home"," disappointed with your toll free number. terrible customer service, my flight has been cancelled flightled would like to get home","disappointed toll free number. terrible customer service, flight cancelled flightled home","disappointed toll free number. terrible service, flightled home","disappointed toll free number. terrible service, flightled home"
10466,"@USAirways it a change fee request from a month ago.  after one hour on phone with your team, I’m told 120 day backlog.  Awful.",negative,"@USAirways it a change fee request from a month ago.  after one hour on phone with your team, I’m told 120 day backlog.  Awful."," it a change fee request from a month ago. after one hour on phone with your team, i am told 120 day backlog. awful.","change fee request month ago. hour phone team, told 120 day backlog. awful.","change fee request month ago. hour phone team, told 120 day backlog. awful.","change fee request month ago. hour phone team, told 120 day backlog. awful."
10467,"@USAirways flt last nght Cancelled Flighted-mech.probs, flt this am Cancelled Flighted-snow, finally on a flt home. 1st cls empty &amp; they won't let me sit there",negative,"@USAirways flt last nght Cancelled Flighted-mech.probs, flt this am Cancelled Flighted-snow, finally on a flt home. 1st cls empty &amp; they won't let me sit there"," flt last nght cancelled flighted-mech.probs, flt this am cancelled flighted-snow, finally on a flt home. 1st cls empty &amp; they will not let me sit there","flt nght cancelled flighted-mech.probs, flt cancelled flighted-snow, finally flt home. 1st cls empty &amp;","flt nght flighted-mech.probs, flt flighted-snow, finally flt home. 1st cls empty","flt nght flighted-mech.probs, flt flighted-snow, finally flt home. 1st cls empty"
10470,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,negative,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious, you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,killing sche flight board 3 arrived gate side airport #genious,killing sche board 3 arrived gate side airport #genious,killing sche board 3 arrived gate side airport #genious
10471,@USAirways @AmericanAir 9 empty seats open in 1st on AA1061. No upgrades for a U.S. Gold member? Would love consistent policies.,negative,@USAirways @AmericanAir 9 empty seats open in 1st on AA1061. No upgrades for a U.S. Gold member? Would love consistent policies., 9 empty seats open in 1st on aa1061. no upgrades for a u.s. gold member? would love consistent policies.,9 empty seats open 1st aa1061. upgrades u.s. gold member? love consistent policies.,9 empty seats open 1st aa1061. upgrades u.s. gold member? love consistent policies.,9 empty seats open 1st aa1061. upgrades u.s. gold member? love consistent policies.
